Время (с),A0 (В)
0.0,2.020
0.0,2.000
0.0,2.373
0.0010046958923339844,2.020
0.0010046958923339844,2.627
0.0010046958923339844,2.471
0.0010046958923339844,2.980
0.0010046958923339844,2.882
0.0010046958923339844,3.039
0.0010046958923339844,2.176
0.0010046958923339844,2.176
0.0010046958923339844,1.784
0.0010046958923339844,2.549
0.0010046958923339844,2.412
0.0010046958923339844,2.922
0.0010046958923339844,3.020
0.0010046958923339844,3.510
0.0010046958923339844,3.196
0.0010046958923339844,3.490
0.0010046958923339844,3.118
0.0010046958923339844,3.569
0.0010046958923339844,3.275
0.0010046958923339844,3.745
0.0010046958923339844,3.333
0.0010046958923339844,3.667
0.0010046958923339844,3.157
0.0010046958923339844,3.333
0.0020041465759277344,2.961
0.0020041465759277344,2.745
0.0020041465759277344,2.216
0.0020041465759277344,2.667
0.0020041465759277344,2.765
0.0020041465759277344,2.961
0.0020041465759277344,2.510
0.0020041465759277344,3.020
0.0020041465759277344,3.137
0.0020041465759277344,3.549
0.0030045509338378906,2.569
0.011065244674682617,2.431
0.01906418800354004,2.216
0.031064271926879883,2.902
0.04006457328796387,2.529
0.05206918716430664,3.000
0.06006813049316406,2.647
0.07264113426208496,2.804
0.08072328567504883,2.118
0.08872270584106445,2.216
0.10077023506164551,1.686
0.10977005958557129,1.843
0.12176966667175293,1.353
0.12977194786071777,1.922
0.1417703628540039,1.529
0.1507728099822998,1.647
0.16277480125427246,1.373
0.17113137245178223,1.765
0.17912626266479492,1.196
0.19112658500671387,1.824
0.1991264820098877,1.549
0.2122199535369873,1.569
0.2202160358428955,0.608
0.23221564292907715,0.451
0.2402803897857666,0.098
0.2523977756500244,0.569
0.261394739151001,0.412
0.268902063369751,0.922
0.28101015090942383,0.471
0.2890756130218506,0.863
0.3020780086517334,1.157
0.3101363182067871,2.216
0.32230591773986816,2.471
0.3303074836730957,3.137
0.34240221977233887,3.471
0.35144686698913574,3.745
0.36295199394226074,3.137
0.37195634841918945,3.098
0.38404417037963867,3.059
0.39213085174560547,3.392
0.4001295566558838,3.118
0.41213059425354004,3.451
0.42017531394958496,3.333
0.4333679676055908,3.490
0.44136714935302734,3.412
0.45337462425231934,4.039
0.4614267349243164,4.235
0.4735732078552246,4.275
0.48208141326904297,3.784
0.49463391304016113,3.431
0.5026378631591797,3.078
0.5147018432617188,3.118
0.5228078365325928,3.176
0.5308077335357666,2.961
0.5438077449798584,3.039
0.5518109798431396,3.039
0.5643167495727539,2.882
0.5723280906677246,2.490
0.5843183994293213,2.118
0.5923645496368408,1.961
0.6004030704498291,2.078
0.6134033203125,2.314
0.6214032173156738,2.314
0.6334037780761719,2.431
0.6414031982421875,2.745
0.6545372009277344,2.882
0.6616227626800537,2.745
0.6741349697113037,2.588
0.6831319332122803,2.706
0.6911354064941406,2.627
0.7031493186950684,2.706
0.7112038135528564,2.824
0.723395586013794,2.961
0.7323944568634033,2.353
0.744391918182373,1.922
0.7529540061950684,1.725
0.7643165588378906,1.824
0.7733159065246582,1.784
0.7813143730163574,2.078
0.7933149337768555,2.098
0.8013174533843994,2.275
0.814427375793457,2.157
0.8224315643310547,2.314
0.8345043659210205,2.000
0.8425023555755615,2.275
0.8545131683349609,2.373
0.863020658493042,2.706
0.8750302791595459,2.569
0.8840286731719971,3.039
0.896028995513916,2.608
0.9040312767028809,2.333
0.9160284996032715,1.882
0.924027681350708,2.118
0.9370300769805908,2.255
0.9450275897979736,2.275
0.9530327320098877,1.784
0.9654316902160645,2.000
0.9734370708465576,1.451
0.9864346981048584,1.745
0.9944312572479248,2.157
1.0064377784729004,2.784
1.0144362449645996,2.941
1.0264372825622559,3.706
1.0354316234588623,3.686
1.047433614730835,3.784
1.0554375648498535,3.373
1.06795072555542,3.235
1.0759491920471191,2.118
1.083949089050293,1.725
1.0969500541687012,1.412
1.104950189590454,1.941
1.1168813705444336,2.098
1.124878168106079,2.706
1.1378779411315918,2.529
1.1458780765533447,2.353
1.153881549835205,1.843
1.1663882732391357,2.000
1.1743886470794678,1.980
1.1863877773284912,2.294
1.194387435913086,2.039
1.2073915004730225,2.510
1.2154035568237305,2.745
1.2279183864593506,3.059
1.23591947555542,2.882
1.2435762882232666,3.020
1.256580114364624,3.059
1.2640857696533203,3.353
1.277085781097412,3.216
1.2850887775421143,3.294
1.297088384628296,2.824
1.3050861358642578,2.882
1.3181521892547607,2.765
1.3261518478393555,2.725
1.33815336227417,2.176
1.3466219902038574,2.804
1.3591961860656738,2.961
1.3672349452972412,3.333
1.3752331733703613,3.529
1.3872332572937012,3.627
1.395289421081543,3.216
1.4082856178283691,3.157
1.4162895679473877,2.843
1.4282855987548828,2.784
1.4362902641296387,2.314
1.4492881298065186,2.667
1.4572885036468506,2.588
1.464794397354126,2.667
1.4774317741394043,2.529
1.4854304790496826,2.784
1.4984307289123535,2.510
1.506521463394165,2.373
1.5185198783874512,2.098
1.5265226364135742,2.529
1.5385198593139648,2.039
1.5475199222564697,1.980
1.5595228672027588,1.353
1.5680301189422607,1.353
1.5800292491912842,1.529
1.5880324840545654,2.196
1.5965352058410645,2.294
1.6088268756866455,2.882
1.6165485382080078,2.804
1.6286537647247314,3.039
1.63773775100708,2.706
1.6497533321380615,2.686
1.6575374603271484,2.137
1.6660425662994385,2.216
1.678565263748169,1.882
1.6860864162445068,1.941
1.6990878582000732,1.863
1.7070860862731934,2.078
1.719191551208496,1.824
1.7277488708496094,1.941
1.7399969100952148,2.294
1.748340129852295,2.882
1.7563896179199219,3.039
1.7684578895568848,3.608
1.7764661312103271,3.667
1.7891247272491455,3.882
1.797137975692749,3.667
1.8091650009155273,3.686
1.8171806335449219,3.333
1.830207347869873,3.216
1.8382160663604736,2.745
1.8502299785614014,2.765
1.858309030532837,2.392
