Время (с),A0 (В)
0.0,4.980
0.0010058879852294922,4.980
0.0010058879852294922,4.980
0.0010058879852294922,4.980
0.0010058879852294922,4.980
0.0010058879852294922,4.980
0.0010058879852294922,4.980
0.0010058879852294922,4.980
0.0010058879852294922,4.980
0.0010058879852294922,4.569
0.0010058879852294922,3.608
0.0010058879852294922,3.471
0.0010058879852294922,3.490
0.0010058879852294922,3.294
0.0010058879852294922,2.490
0.0010058879852294922,2.039
0.0010058879852294922,1.647
0.0010058879852294922,0.725
0.0010058879852294922,0.000
0.0010058879852294922,0.000
0.0020051002502441406,0.000
0.0020051002502441406,0.333
0.0020051002502441406,0.549
0.0020051002502441406,1.020
0.0020051002502441406,1.098
0.0020051002502441406,1.078
0.0020051002502441406,0.667
0.0020051002502441406,1.059
0.0020051002502441406,1.059
0.0020051002502441406,1.000
0.0020051002502441406,1.373
0.0020051002502441406,1.863
0.0020051002502441406,1.373
0.0020051002502441406,1.431
0.0020051002502441406,1.314
0.0020051002502441406,1.353
0.0020051002502441406,1.039
0.0020051002502441406,1.529
0.010061502456665039,1.510
0.022062063217163086,1.549
0.030134916305541992,1.255
0.04218554496765137,1.353
0.0501859188079834,1.059
0.05918622016906738,1.431
0.07118916511535645,1.333
0.07924675941467285,1.216
0.09175729751586914,1.118
0.09981942176818848,1.529
0.11186552047729492,1.843
0.11986589431762695,2.216
0.12886953353881836,2.137
0.1399679183959961,2.353
0.14851784706115723,2.039
0.1610276699066162,2.137
0.16954255104064941,2.098
0.1815943717956543,2.275
0.19017577171325684,1.980
0.20217537879943848,2.020
0.2101762294769287,1.843
0.21825361251831055,1.980
0.23125433921813965,1.824
0.23917937278747559,1.922
0.2512319087982178,1.824
0.2592320442199707,2.000
0.2722358703613281,2.275
0.28023624420166016,2.667
0.29236483573913574,2.431
0.30042600631713867,2.686
0.31242847442626953,2.529
0.32042598724365234,2.745
0.33351993560791016,2.451
0.34156227111816406,2.667
0.349562406539917,2.569
0.36156225204467773,2.784
0.36961960792541504,2.490
0.38266897201538086,2.725
0.39017820358276367,2.471
0.4032747745513916,2.412
0.41132616996765137,2.078
0.4233274459838867,2.373
0.43132591247558594,2.157
0.43932628631591797,2.431
0.45232558250427246,2.275
0.4603264331817627,2.373
0.4724917411804199,2.098
0.48055481910705566,2.373
0.49306440353393555,2.235
0.5012097358703613,2.314
0.5132615566253662,1.804
0.5212612152099609,2.235
0.5342621803283691,2.078
0.5422616004943848,2.451
0.5542616844177246,2.373
0.5622615814208984,2.882
0.5712649822235107,2.647
0.5833652019500732,2.843
0.5909254550933838,2.725
0.6039292812347412,2.882
0.611929178237915,2.549
0.6244971752166748,2.745
0.6324970722198486,2.216
0.6400065422058105,2.255
0.6531105041503906,2.098
0.6611671447753906,2.627
0.6731703281402588,2.392
0.6811709403991699,2.471
0.6936814785003662,2.157
0.7017531394958496,2.353
0.713752031326294,2.039
0.7218279838562012,2.333
0.7309298515319824,2.059
0.742929220199585,2.333
0.7555716037750244,1.902
0.7635767459869385,2.039
0.7715804576873779,1.902
0.7835807800292969,2.294
0.7921929359436035,2.314
0.8042445182800293,2.961
0.8122439384460449,2.569
0.8243396282196045,2.373
0.8333859443664551,2.000
0.8453874588012695,2.255
0.8533859252929688,2.059
0.8653991222381592,2.314
0.8734750747680664,2.255
0.8865792751312256,2.569
0.894585371017456,2.451
0.9020917415618896,2.471
0.9146029949188232,2.294
0.9228348731994629,2.490
0.9358353614807129,2.255
0.9438369274139404,2.647
0.9562978744506836,2.471
0.9643023014068604,2.529
0.9767293930053711,2.431
0.9847867488861084,2.784
0.9969813823699951,3.000
1.004981279373169,3.098
1.016981840133667,3.000
1.0251045227050781,2.863
1.0331566333770752,2.784
1.0461583137512207,2.765
1.0541572570800781,2.706
1.0661568641662598,2.627
1.0742747783660889,2.627
1.0868520736694336,2.647
1.094853162765503,2.667
1.1079111099243164,2.765
1.1159698963165283,2.882
1.1239702701568604,2.843
1.135969877243042,2.588
1.143970251083374,2.510
1.1560723781585693,2.490
1.1651287078857422,2.275
1.1771337985992432,2.078
1.1856379508972168,2.020
1.197643518447876,2.176
1.2057137489318848,2.275
1.2137620449066162,2.098
1.225761890411377,2.196
1.2348167896270752,2.706
1.2468595504760742,2.706
1.254859209060669,2.529
1.266859769821167,2.490
1.275864839553833,2.608
1.2838635444641113,2.706
1.2953755855560303,2.686
1.3044397830963135,2.824
1.316483736038208,2.902
1.3244836330413818,2.765
1.3364841938018799,2.706
1.3444886207580566,2.294
1.3576550483703613,2.353
1.3657097816467285,2.353
1.3782238960266113,2.451
1.3857297897338867,2.353
1.3982412815093994,2.529
1.4062411785125732,2.294
1.4142417907714844,2.431
1.427241563796997,2.529
1.4353458881378174,2.569
1.4473459720611572,2.314
1.455345869064331,2.412
1.4683473110198975,2.314
1.4764454364776611,2.588
1.488189935684204,2.471
1.496241569519043,2.412
1.509242057800293,2.176
1.5173048973083496,2.451
1.5293645858764648,2.510
1.537365198135376,2.706
1.545473337173462,2.431
1.5585367679595947,2.431
1.5665369033813477,2.373
1.5786442756652832,2.431
1.5861964225769043,2.373
1.599196195602417,2.451
1.60719633102417,2.412
1.6191959381103516,2.667
1.627242088317871,2.471
1.6362988948822021,2.412
1.6483023166656494,2.216
1.6563019752502441,2.314
1.6688647270202637,2.020
1.6768827438354492,2.118
1.6893930435180664,2.137
1.6973943710327148,2.294
1.7094554901123047,2.118
1.7175071239471436,2.333
1.7265081405639648,2.275
1.7385079860687256,2.431
1.7465059757232666,2.510
1.7585077285766602,2.765
1.766568660736084,2.686
1.7796313762664795,2.902
1.7871456146240234,2.765
1.7951455116271973,2.824
1.8082020282745361,2.627
1.8162007331848145,2.863
1.8282010555267334,2.686
1.8362009525299072,2.765
1.8492965698242188,2.627
1.8572969436645508,2.588
1.8693912029266357,2.412
1.877446174621582,2.490
1.8899569511413574,2.373
1.8979568481445312,2.451
1.9100677967071533,2.275
1.918144702911377,2.471
1.9271461963653564,2.431
1.9391446113586426,2.588
1.9472072124481201,2.333
1.959301471710205,2.431
1.9673023223876953,2.392
1.9803063869476318,2.529
1.9879133701324463,2.353
1.9999165534973145,2.431
2.008913516998291,2.373
2.020913600921631,2.373
2.0290253162384033,1.843
2.0410258769989014,1.902
2.05002498626709,1.804
2.0580251216888428,2.039
2.0700957775115967,1.961
2.0780997276306152,2.333
2.0906126499176025,2.490
2.098670721054077,2.745
2.110731840133667,2.706
2.118732213973999,2.863
2.1312475204467773,2.667
2.139874219894409,2.549
2.1479783058166504,2.039
2.1599764823913574,2.118
2.167977809906006,2.275
2.1810431480407715,2.608
2.1892595291137695,2.627
2.2012596130371094,2.980
2.209260940551758,2.824
2.221259593963623,2.980
2.229323625564575,2.608
2.23832368850708,2.686
2.2503247261047363,2.529
2.2583279609680176,2.765
2.2704243659973145,2.588
2.2794289588928223,2.608
2.2916505336761475,2.373
2.299708843231201,2.490
2.3117103576660156,2.373
2.3197085857391357,2.549
2.331782579421997,2.353
2.340898275375366,2.686
2.352898359298706,2.529
2.360968589782715,2.686
2.373342514038086,2.549
2.3817341327667236,2.902
2.3941144943237305,2.627
2.4022374153137207,2.608
2.410465717315674,2.451
2.4214649200439453,2.765
2.430973529815674,2.333
2.4432780742645264,2.588
2.450871229171753,2.529
2.463757038116455,2.686
2.471766233444214,2.216
2.4798173904418945,2.137
2.4923784732818604,2.059
2.5003788471221924,2.275
2.512441873550415,2.255
2.520555257797241,2.824
2.53255558013916,2.686
2.541609287261963,2.902
2.553677558898926,2.471
2.561678647994995,2.745
2.5736818313598633,2.314
2.581730365753174,2.529
2.594325542449951,2.412
2.602325201034546,2.784
2.610325574874878,2.275
2.623420476913452,2.706
2.6314682960510254,2.608
2.6434688568115234,2.745
2.651520252227783,2.569
2.663613796234131,2.725
2.6726174354553223,2.176
2.6847403049468994,2.569
2.69232177734375,2.176
2.701322078704834,2.275
2.713322162628174,2.275
2.721388339996338,2.647
2.7333872318267822,2.549
2.7414469718933105,2.902
2.754507303237915,2.667
2.7625064849853516,2.667
2.774714469909668,2.176
2.7827131748199463,2.510
2.7912232875823975,2.235
2.803223133087158,2.235
2.811286211013794,1.941
2.8233377933502197,2.529
2.832338333129883,2.333
2.8443386554718018,2.569
2.8523383140563965,2.176
2.864438772201538,2.510
2.8730194568634033,2.412
2.88502836227417,2.667
2.893047332763672,2.431
2.9061484336853027,2.843
2.9142069816589355,2.569
2.9222071170806885,2.863
2.934276819229126,2.431
2.94236159324646,2.608
2.9553611278533936,2.451
2.9633617401123047,2.863
2.9754247665405273,2.569
2.9834799766540527,2.627
2.991657018661499,2.137
3.00376296043396,2.510
3.0118610858917236,2.510
3.024860143661499,2.784
3.0328598022460938,2.608
3.0448596477508545,2.725
3.0528621673583984,2.471
3.0649712085723877,2.588
3.0739758014678955,2.490
3.085056781768799,2.529
3.0946121215820312,2.275
3.1066126823425293,2.490
3.114670991897583,2.314
3.122670888900757,2.333
3.1346724033355713,2.294
