Время (с),A0 (В)
0.0,2.941
0.0,2.059
0.0,2.471
0.0,1.725
0.0,2.412
0.0,2.373
0.0,3.196
0.0,2.569
0.0,3.157
0.0,2.765
0.0,3.392
0.0,2.020
0.0,2.176
0.0,1.922
0.0,2.706
0.0,2.020
0.0,2.490
0.0,2.039
0.0,2.529
0.0,1.882
0.0,2.804
0.0,2.235
0.0,2.725
0.0,1.863
0.0,2.333
0.0,1.804
0.0,2.490
0.0,1.961
0.0,2.843
0.0,2.078
0.0,2.216
0.0,1.471
0.0,2.431
0.0,1.863
0.0,2.627
0.0,2.275
0.0,2.922
0.0,2.392
0.006615161895751953,2.882
0.019937753677368164,2.353
0.026628732681274414,2.902
0.03991556167602539,1.863
0.04993557929992676,2.373
0.05660700798034668,2.373
0.06993961334228516,3.804
0.07661700248718262,3.745
0.08992910385131836,3.706
0.09657502174377441,2.667
0.10994172096252441,3.157
0.11990785598754883,2.333
0.12657999992370605,2.529
0.13989996910095215,1.627
0.14658331871032715,2.216
0.15989971160888672,1.765
0.1665952205657959,2.020
0.1799182891845703,1.667
0.1865682601928711,2.098
0.19990992546081543,1.765
0.20995330810546875,2.451
0.21666169166564941,1.667
0.2299494743347168,2.176
0.23655152320861816,1.843
0.24988651275634766,2.353
0.25655412673950195,1.941
0.2698783874511719,2.510
0.2765681743621826,2.196
0.28990793228149414,2.471
0.2998988628387451,2.020
0.30990004539489746,2.392
0.31984806060791016,2.255
0.32986021041870117,2.275
0.33985161781311035,2.627
0.34653162956237793,2.765
0.35987401008605957,2.373
0.3665344715118408,2.431
0.37990880012512207,2.392
0.3899099826812744,2.392
0.3998990058898926,2.118
0.4099082946777344,2.392
0.42002320289611816,2.471
0.42994070053100586,2.373
0.4365353584289551,2.137
0.4499335289001465,2.490
0.45990562438964844,2.980
0.46987318992614746,2.784
0.479931116104126,2.745
0.48991990089416504,2.431
0.49993300437927246,2.647
0.5099074840545654,2.078
0.5198755264282227,2.333
0.5331709384918213,2.314
0.5398333072662354,2.765
0.5533497333526611,2.490
0.5621688365936279,2.667
0.5699925422668457,2.549
0.582103967666626,2.686
0.5900664329528809,2.431
0.6035284996032715,2.451
0.6101784706115723,2.490
0.6232113838195801,2.980
0.6298947334289551,2.471
0.6403074264526367,2.353
0.650188684463501,2.314
0.659888744354248,2.608
0.6727583408355713,2.078
0.6806697845458984,2.549
0.6933231353759766,2.216
0.700890064239502,2.373
0.7132358551025391,2.275
0.7197921276092529,2.922
0.7298638820648193,2.471
0.7397944927215576,2.706
0.7498645782470703,2.627
0.7597954273223877,2.804
0.769899845123291,2.373
0.783052921295166,2.765
0.7910144329071045,2.824
0.8032076358795166,3.216
0.8120505809783936,2.510
0.8235909938812256,2.667
0.8298928737640381,2.333
0.8431270122528076,2.804
0.8531949520111084,2.549
0.8605780601501465,2.882
0.8734714984893799,2.490
0.880906343460083,2.804
0.8940525054931641,2.471
0.9015257358551025,2.824
0.9140958786010742,2.431
0.9220907688140869,2.098
0.9346606731414795,2.000
0.9428484439849854,2.529
0.9509541988372803,2.255
0.9634594917297363,2.392
0.9716260433197021,2.588
0.9842960834503174,3.314
0.9923653602600098,2.569
1.0043666362762451,2.922
1.0123648643493652,2.451
1.0243656635284424,2.686
1.0334227085113525,2.627
1.045417070388794,2.922
1.053429365158081,2.451
1.0659449100494385,3.059
1.0740175247192383,2.745
1.0820167064666748,2.647
1.0940184593200684,2.255
1.1030170917510986,2.490
1.1150164604187012,2.118
1.1230156421661377,2.471
1.135077714920044,2.333
1.1430833339691162,2.647
1.1520814895629883,2.078
1.1641004085540771,2.627
1.1720316410064697,2.529
1.1840322017669678,2.765
1.1930348873138428,2.392
1.2050752639770508,2.412
1.2130753993988037,1.961
1.2250752449035645,2.549
1.2340762615203857,2.196
1.2420756816864014,2.549
1.2540814876556396,2.176
1.2621431350708008,2.529
1.2747156620025635,2.333
1.2827155590057373,2.686
1.2947158813476562,2.275
1.3037827014923096,2.824
1.3157801628112793,2.843
1.3237824440002441,3.588
1.335782527923584,3.059
1.3437831401824951,3.333
1.35691237449646,2.706
1.3644192218780518,3.176
1.3774926662445068,2.863
1.385551929473877,3.373
1.397564172744751,2.647
1.4055631160736084,2.725
1.413564682006836,2.157
1.426567792892456,2.412
1.4346394538879395,1.412
1.446228265762329,1.255
1.455233097076416,0.765
1.4672417640686035,1.294
1.475240707397461,0.941
1.4873805046081543,1.549
1.4954414367675781,1.471
1.5084421634674072,2.314
1.5164430141448975,2.118
1.5286085605621338,2.667
1.5366125106811523,2.078
1.5446650981903076,2.608
1.5577113628387451,2.216
1.565216064453125,2.647
1.5782160758972168,2.000
1.5862157344818115,2.216
1.5983169078826904,1.941
1.6063556671142578,2.824
1.6183555126190186,2.431
1.6273574829101562,2.824
1.6354506015777588,2.255
1.647451639175415,2.627
1.6554551124572754,2.275
1.6680784225463867,3.255
1.6761338710784912,3.176
1.6881828308105469,3.647
1.6962344646453857,3.137
1.7092328071594238,3.686
1.7172367572784424,3.549
1.7252376079559326,4.020
1.737809181213379,3.176
1.745377540588379,3.314
1.7584760189056396,2.686
1.7659857273101807,2.882
1.7789855003356934,1.882
1.786987066268921,2.706
1.7949845790863037,1.941
1.8070378303527832,2.392
1.8150362968444824,1.725
1.8280372619628906,2.216
1.8360381126403809,1.765
1.8480360507965088,2.608
1.8560404777526855,1.902
1.868551254272461,2.980
1.8766274452209473,2.176
1.8886663913726807,2.882
1.8976669311523438,2.216
1.9096715450286865,3.157
1.9181780815124512,2.118
1.925178050994873,2.922
1.9382662773132324,1.804
1.946324348449707,2.294
1.958373785018921,1.216
1.966883897781372,1.961
1.978884220123291,1.078
1.987882375717163,1.980
1.9999992847442627,1.294
2.007998466491699,2.216
2.0200462341308594,1.392
2.0280888080596924,2.275
2.0401992797851562,1.824
2.049201011657715,2.216
2.057201862335205,1.392
2.0697710514068604,2.412
2.0777664184570312,1.686
2.0897715091705322,2.137
2.097766876220703,1.627
2.109860897064209,2.667
2.1189074516296387,2.196
2.130906820297241,3.000
2.138906955718994,2.510
2.1469085216522217,3.490
2.159013271331787,2.824
2.168142318725586,3.608
2.1801440715789795,3.098
2.1881420612335205,4.373
2.200143575668335,3.765
2.2081429958343506,4.510
2.221142292022705,3.569
2.229142665863037,3.863
2.2371866703033447,2.882
2.2491846084594727,3.529
2.2582333087921143,2.843
2.269810438156128,3.451
2.2778570652008057,2.588
2.2908568382263184,3.137
2.298856019973755,2.314
2.306858539581299,3.020
2.3189241886138916,2.157
2.326925277709961,2.627
2.3399271965026855,1.784
2.3479690551757812,2.314
2.3600387573242188,1.961
2.3685474395751953,2.373
2.380547523498535,2.157
2.3885467052459717,2.176
2.4015464782714844,1.902
2.4095466136932373,1.980
2.421624183654785,1.686
2.4297144412994385,1.804
2.4377145767211914,1.549
2.4507205486297607,2.137
2.4588098526000977,2.275
2.4708995819091797,2.294
2.4788992404937744,1.941
2.491520643234253,1.843
2.4995203018188477,1.275
2.511563301086426,1.451
2.5195629596710205,1.647
2.532562732696533,1.431
2.5406222343444824,1.824
2.552666425704956,1.627
2.5606682300567627,1.961
2.569176197052002,1.745
2.581233501434326,2.020
2.589232921600342,2.039
2.6022329330444336,2.588
2.6102347373962402,2.451
2.622375726699829,2.863
2.6304304599761963,2.588
2.6424291133880615,2.765
2.651508331298828,2.588
2.6596121788024902,3.078
2.6711177825927734,2.902
2.67962384223938,3.431
2.6917734146118164,3.294
2.700395107269287,3.510
2.712523937225342,3.314
2.7205817699432373,3.471
2.7325820922851562,2.980
2.741582155227661,2.804
2.74963641166687,2.196
2.761686325073242,2.627
2.7701995372772217,2.549
2.7821977138519287,2.941
2.790286064147949,2.902
2.8023760318756104,3.588
2.810375928878784,3.235
2.819375514984131,3.235
2.8314971923828125,3.039
2.8395445346832275,3.216
2.8515470027923584,2.686
2.864481210708618,2.804
2.872051477432251,1.882
2.8848302364349365,1.804
2.8929686546325684,1.451
2.90506649017334,2.235
2.9131102561950684,1.941
2.9211089611053467,2.235
2.9341695308685303,1.549
2.942272901535034,1.451
2.954596757888794,0.608
2.962730884552002,1.255
2.9743034839630127,1.137
2.9823033809661865,1.686
2.9913034439086914,1.451
3.0034353733062744,1.961
3.011435031890869,1.961
3.023435354232788,2.647
3.031533718109131,2.412
3.0445337295532227,2.941
3.0525379180908203,2.549
3.0645384788513184,2.647
3.073117256164551,2.373
3.0856823921203613,3.392
3.0937294960021973,3.275
3.1057281494140625,3.255
3.113797426223755,2.725
3.121796131134033,3.569
3.134796619415283,3.314
3.1428756713867188,3.118
3.1549265384674072,2.157
3.1629252433776855,2.412
3.1755616664886475,1.922
3.1836440563201904,2.490
3.1956427097320557,2.412
3.203644037246704,2.941
3.2126431465148926,2.373
3.2247018814086914,2.529
3.2327640056610107,3.000
3.2453157901763916,4.373
3.2533230781555176,3.784
3.2658751010894775,3.569
3.273878574371338,2.784
3.285879611968994,3.137
3.2939298152923584,2.608
3.301974296569824,2.824
3.314974069595337,2.529
