Время (с),A0 (В)
0.0010051727294921875,2.392
0.0010051727294921875,2.588
0.0010051727294921875,2.667
0.0010051727294921875,2.667
0.0010051727294921875,2.373
0.0010051727294921875,2.333
0.0010051727294921875,2.333
0.0010051727294921875,2.412
0.0010051727294921875,2.471
0.0010051727294921875,2.451
0.0010051727294921875,2.294
0.0010051727294921875,2.725
0.0010051727294921875,2.686
0.0010051727294921875,2.529
0.002006053924560547,2.451
0.002006053924560547,2.608
0.002006053924560547,2.745
0.002006053924560547,2.667
0.002006053924560547,2.471
0.002006053924560547,2.412
0.002006053924560547,2.451
0.002006053924560547,2.569
0.002006053924560547,2.431
0.002006053924560547,2.549
0.002006053924560547,2.314
0.002006053924560547,2.510
0.002006053924560547,2.569
0.002006053924560547,2.510
0.002006053924560547,2.490
0.002006053924560547,2.451
0.002006053924560547,2.275
0.002006053924560547,2.275
0.002006053924560547,2.176
0.002006053924560547,2.373
0.002006053924560547,2.373
0.002006053924560547,2.549
0.002006053924560547,2.549
0.0030052661895751953,2.431
0.011061429977416992,2.333
0.019062280654907227,2.451
0.0316309928894043,2.373
0.039679527282714844,2.412
0.051679372787475586,2.294
0.059732913970947266,2.353
0.07178425788879395,2.490
0.08078479766845703,2.647
0.08883380889892578,2.863
0.10083365440368652,2.941
0.10883736610412598,2.627
0.12083745002746582,2.627
0.12934422492980957,2.235
0.14142894744873047,2.275
0.14999628067016602,2.510
0.16203880310058594,2.804
0.17013788223266602,2.647
0.17813730239868164,2.627
0.19113731384277344,2.333
0.19913721084594727,2.235
0.2112112045288086,2.039
0.21926045417785645,2.431
0.2319040298461914,2.373
0.23990440368652344,2.510
0.25200510025024414,2.510
0.26009106636047363,2.588
0.2690911293029785,2.471
0.28116488456726074,2.490
0.28926515579223633,2.353
0.3012669086456299,2.490
0.3093383312225342,2.255
0.3213965892791748,2.471
0.32990598678588867,2.490
0.34151792526245117,2.490
0.3502025604248047,2.529
0.3632030487060547,2.608
0.3712019920349121,2.451
0.38327860832214355,2.529
0.39140963554382324,2.353
0.39940977096557617,2.510
0.4124133586883545,2.392
0.42049455642700195,2.569
0.4321472644805908,2.431
0.4411487579345703,2.588
0.45314669609069824,2.608
0.46123552322387695,2.588
0.4732816219329834,2.294
0.48128628730773926,2.314
0.49379396438598633,2.549
0.5022993087768555,2.647
0.515021800994873,2.294
0.5231149196624756,2.353
0.5312104225158691,2.255
0.543210506439209,2.451
0.5512127876281738,2.333
0.5632104873657227,2.216
0.5722100734710693,2.157
0.5842103958129883,2.588
0.5922636985778809,2.549
0.6003246307373047,2.490
0.61283278465271,2.176
0.6213972568511963,2.157
0.6329054832458496,2.118
0.641643762588501,2.451
