Время (с),A0 (В)
0.0,3.431
0.0,2.902
0.0,2.392
0.0012562274932861328,1.275
0.0012562274932861328,2.412
0.0012562274932861328,2.255
0.0012562274932861328,1.627
0.0012562274932861328,1.745
0.0012562274932861328,2.255
0.0012562274932861328,1.510
0.0012562274932861328,1.294
0.0012562274932861328,0.235
0.0012562274932861328,0.490
0.0012562274932861328,0.980
0.0012562274932861328,2.098
0.0012562274932861328,2.824
0.0012562274932861328,3.529
0.0012562274932861328,3.569
0.0012562274932861328,4.980
0.0012562274932861328,3.686
0.0012562274932861328,3.588
0.0012562274932861328,3.647
0.0012562274932861328,3.196
0.002254486083984375,1.882
0.002254486083984375,1.824
0.002254486083984375,1.373
0.002254486083984375,1.667
0.002254486083984375,1.255
0.002254486083984375,2.510
0.002254486083984375,2.314
0.002254486083984375,2.196
0.002254486083984375,2.157
0.002254486083984375,3.333
0.002254486083984375,2.961
0.002254486083984375,2.961
0.002254486083984375,2.588
0.002254486083984375,3.275
0.002254486083984375,2.118
0.00876474380493164,1.843
0.020274877548217773,2.353
0.02878284454345703,2.118
0.04122805595397949,2.392
0.04974198341369629,3.314
0.061257123947143555,1.824
0.06976175308227539,2.863
0.08216428756713867,3.176
0.08961033821105957,3.471
0.09867405891418457,3.588
0.11118173599243164,4.039
0.11869192123413086,3.000
0.13120150566101074,2.627
0.13971400260925293,2.333
0.1517324447631836,3.235
0.1602458953857422,2.412
0.17275619506835938,2.608
0.1802670955657959,2.490
0.1887805461883545,2.863
0.20128631591796875,2.373
0.2093188762664795,2.196
0.22184014320373535,1.647
0.22983646392822266,3.039
0.24187040328979492,2.765
0.2503793239593506,2.843
0.2583949565887451,2.627
0.27091288566589355,2.314
0.278428316116333,1.059
0.29094982147216797,0.725
0.2989974021911621,0.314
0.31151342391967773,2.137
0.3200230598449707,3.118
0.3315894603729248,3.373
0.34009814262390137,1.608
0.3521230220794678,2.137
0.36063337326049805,2.314
0.372652530670166,3.059
0.38116455078125,2.588
0.38967061042785645,2.784
0.4021878242492676,3.020
0.41019272804260254,3.941
0.4217109680175781,3.235
0.4299623966217041,3.529
0.44298744201660156,1.804
0.4505023956298828,1.510
0.46302103996276855,1.824
0.4715414047241211,2.902
0.4840512275695801,2.882
0.4915657043457031,3.412
0.503678560256958,3.157
0.5121967792510986,2.843
0.5207154750823975,2.196
0.5332269668579102,2.686
0.5407404899597168,2.608
0.5532636642456055,2.529
0.5617740154266357,1.980
0.5737924575805664,2.706
0.5818908214569092,2.706
0.594792366027832,2.118
0.6018428802490234,1.314
0.6109685897827148,1.961
0.6224830150604248,1.569
0.630814790725708,2.176
0.6433377265930176,2.863
0.6513609886169434,3.412
0.6634454727172852,2.118
0.6719684600830078,2.078
0.6843609809875488,1.686
0.6927552223205566,2.843
0.7012598514556885,2.647
0.7127854824066162,1.902
0.7213125228881836,2.824
0.7338216304779053,3.882
0.7418229579925537,2.784
0.7541663646697998,3.196
0.7621641159057617,3.392
0.7702410221099854,2.549
0.7827496528625488,1.588
0.7912793159484863,2.627
0.8035764694213867,2.255
0.8110840320587158,3.000
0.8241093158721924,3.059
0.8322536945343018,2.137
0.8439388275146484,1.549
0.851959228515625,2.118
0.8650121688842773,2.745
0.8725266456604004,3.314
0.8850078582763672,1.392
0.8935239315032959,0.941
0.9015219211578369,2.255
0.9139983654022217,2.431
0.9262585639953613,1.745
0.9337711334228516,1.902
0.9427814483642578,1.647
0.953819990158081,2.490
0.963331937789917,3.373
0.9748458862304688,2.667
0.9833581447601318,1.647
0.9958722591400146,1.725
1.004382610321045,2.373
1.0158939361572266,3.451
1.024292230606079,3.667
1.0368037223815918,2.373
1.045318365097046,1.824
1.0573639869689941,2.216
1.0648748874664307,2.451
1.073899507522583,1.314
1.0860443115234375,1.216
1.0935568809509277,2.314
1.1058950424194336,2.529
1.1148953437805176,0.922
1.1269209384918213,1.549
1.1349196434020996,2.490
1.1472198963165283,2.059
1.1557345390319824,2.549
1.1632256507873535,3.078
1.1762127876281738,3.549
1.1841061115264893,4.667
1.1964671611785889,4.373
1.2050373554229736,3.608
1.2170829772949219,3.059
1.225104808807373,2.118
1.2376151084899902,1.471
1.2451305389404297,2.392
1.2536301612854004,2.078
1.2663657665252686,2.431
1.2734057903289795,2.216
1.286956787109375,2.510
1.2949554920196533,2.686
1.306981086730957,2.196
1.3149888515472412,0.980
1.3275206089019775,1.941
1.3360354900360107,2.255
1.3480658531188965,3.118
1.3562827110290527,2.137
1.3684332370758057,3.157
1.376943588256836,3.510
1.3851993083953857,3.471
1.397252082824707,2.529
1.4054031372070312,3.118
1.4179186820983887,2.863
1.4254286289215088,2.118
1.4379374980926514,1.333
1.4459617137908936,1.627
1.4544823169708252,2.059
1.4669888019561768,3.275
1.4752724170684814,2.490
1.486792802810669,2.176
1.4953103065490723,1.647
1.5073862075805664,1.627
1.5158989429473877,1.431
1.5287394523620605,3.588
1.536026954650879,3.961
1.5485363006591797,3.765
1.5572636127471924,2.314
1.568777084350586,2.843
1.5770905017852783,2.863
1.5856013298034668,2.471
1.5981793403625488,2.510
1.6056935787200928,2.627
1.6180329322814941,2.020
1.6270339488983154,1.980
1.6385993957519531,2.196
1.6466028690338135,2.588
1.6591312885284424,2.314
1.6671366691589355,2.824
1.6756563186645508,2.490
1.6878535747528076,2.176
1.696040391921997,2.471
1.708547830581665,3.863
1.7167479991912842,3.569
1.7292613983154297,3.353
1.736776351928711,2.784
1.7492918968200684,2.608
1.7573168277740479,1.549
1.7658212184906006,1.549
1.7784454822540283,0.804
1.7854409217834473,1.608
1.7984619140625,2.333
1.8064663410186768,2.784
1.8191707134246826,2.137
1.8272018432617188,2.686
1.8393359184265137,3.275
1.8476746082305908,3.216
1.860184907913208,2.490
1.868697166442871,2.882
1.8802111148834229,2.922
1.888664960861206,3.588
1.8971717357635498,2.882
1.9096794128417969,3.059
1.9171905517578125,3.059
1.929699420928955,3.000
1.9382145404815674,2.039
1.9506044387817383,3.039
1.9577746391296387,3.353
1.9668822288513184,3.000
1.9789009094238281,2.804
1.9869053363800049,2.431
1.9994194507598877,1.490
2.007654905319214,2.137
2.020167350769043,2.137
2.0276780128479004,2.157
2.0401883125305176,1.549
2.0482473373413086,1.980
2.0609006881713867,1.961
2.069411039352417,2.333
2.081430435180664,2.118
2.0895800590515137,2.412
2.097672939300537,2.000
2.110184669494629,2.176
2.118316411972046,1.373
2.13084077835083,1.314
2.1388397216796875,1.333
2.150862455368042,2.569
2.158888339996338,2.804
2.1709060668945312,3.451
2.179912567138672,2.843
2.187422275543213,3.235
2.1997478008270264,2.765
2.208263874053955,3.333
2.2207798957824707,3.353
2.228290319442749,4.373
2.2414886951446533,4.471
2.2489984035491943,3.529
2.2613492012023926,2.392
2.269859790802002,3.196
2.2778594493865967,2.431
2.290661573410034,2.549
2.297663450241089,2.216
2.310699224472046,2.235
2.3186964988708496,1.471
2.331251382827759,1.137
2.339859962463379,1.098
2.350816011428833,1.980
2.3596034049987793,1.863
2.3721957206726074,2.706
2.380714178085327,2.725
2.392219305038452,3.431
2.400601387023926,3.588
2.409111738204956,3.627
2.4216232299804688,3.078
2.429129123687744,2.961
2.441641092300415,2.098
2.4491443634033203,1.784
2.4621639251708984,1.588
2.4706733226776123,1.451
2.4821879863739014,1.431
2.491189956665039,2.549
2.502798080444336,2.529
2.51080060005188,2.882
2.5233120918273926,2.431
2.531397581100464,1.941
2.5444135665893555,2.118
2.551934242248535,1.882
2.5640969276428223,1.922
2.5726077556610107,2.471
2.580767869949341,2.294
2.5928421020507812,2.314
2.6013572216033936,2.804
2.613692283630371,2.922
2.622204303741455,2.902
2.6347196102142334,3.059
2.6422276496887207,2.765
2.650740623474121,2.961
2.662789821624756,1.765
2.670788049697876,2.314
2.683300018310547,2.902
2.691664218902588,2.804
2.7041802406311035,2.275
2.7121903896331787,2.804
2.724698543548584,2.784
2.7328920364379883,3.549
2.740403890609741,2.941
2.7529678344726562,1.608
2.7614784240722656,1.235
2.773989200592041,2.020
2.7822015285491943,3.059
2.793713092803955,3.157
2.802222490310669,2.647
2.814617872238159,2.725
2.8231256008148193,1.882
2.830643892288208,2.235
2.8431832790374756,2.490
2.8517024517059326,1.686
2.8630716800689697,1.667
2.872183322906494,2.078
2.8836910724639893,1.216
2.8922009468078613,1.588
2.9047131538391113,2.314
2.912883758544922,1.961
2.9249470233917236,2.039
2.933473587036133,2.824
2.945981740951538,3.235
2.953502655029297,3.157
2.9617769718170166,2.451
2.9742894172668457,2.941
2.982804536819458,2.961
2.9943158626556396,2.902
3.003312349319458,3.000
3.0149059295654297,2.745
3.022902250289917,2.745
3.0359249114990234,2.431
3.0439209938049316,2.745
3.0564517974853516,2.961
3.064457654953003,3.353
3.076967477798462,2.882
3.0852043628692627,2.902
3.092716932296753,2.294
3.1052286624908447,1.745
3.113741397857666,1.706
3.1258769035339355,2.098
3.133867025375366,1.784
3.1459314823150635,1.373
3.154953718185425,2.039
3.162951946258545,2.686
3.1749846935272217,2.176
3.1829845905303955,1.627
3.194997787475586,1.353
3.204002618789673,2.608
3.215512752532959,3.118
3.2240209579467773,3.078
3.2365293502807617,2.078
3.2448441982269287,1.941
3.2528233528137207,2.745
3.2653350830078125,3.745
3.272840738296509,2.824
3.285352945327759,2.490
3.2938640117645264,3.020
3.3063747882843018,2.804
3.313883066177368,1.412
3.3261678218841553,1.471
3.3348581790924072,1.706
3.34342622756958,2.235
3.355116605758667,1.412
3.36312198638916,2.294
3.375642776489258,3.275
3.3838131427764893,3.255
3.3963255882263184,2.392
3.404836654663086,2.235
3.416346788406372,1.961
3.424860954284668,2.412
3.437371015548706,2.961
3.4448821544647217,3.745
3.457393169403076,2.725
3.465902090072632,2.078
3.4744138717651367,1.157
3.4859230518341064,2.275
3.493924379348755,3.078
3.5063958168029785,3.216
3.5149013996124268,2.353
3.5270869731903076,3.039
3.535088300704956,2.686
3.5481133460998535,3.314
3.555624008178711,2.902
3.5686357021331787,2.176
3.576641321182251,1.863
3.5888378620147705,2.118
3.5968668460845947,2.686
3.6053824424743652,2.863
3.616971492767334,2.098
3.6253015995025635,3.118
3.6378121376037598,3.373
3.646320343017578,3.373
3.657869577407837,2.412
3.6663832664489746,2.804
3.674886703491211,3.353
3.6874048709869385,3.078
3.695404291152954,2.490
3.7069170475006104,2.922
3.7152211666107178,2.275
3.7282352447509766,2.471
3.7362399101257324,2.118
3.7484002113342285,2.078
3.756405830383301,2.137
3.7649130821228027,2.510
3.7773592472076416,2.961
3.784874200820923,3.059
3.7973861694335938,2.314
3.805896520614624,3.098
3.81794810295105,2.784
3.8264591693878174,2.647
3.8382415771484375,1.784
3.846752166748047,2.176
3.854966402053833,2.392
3.8669934272766113,3.118
3.8750007152557373,3.686
3.887465238571167,3.961
3.8955299854278564,3.588
3.9080471992492676,3.333
3.9165587425231934,1.314
3.929067611694336,1.608
3.93711256980896,1.804
3.9496281147003174,2.020
3.957641124725342,1.510
3.9701550006866455,1.745
3.9776675701141357,1.882
3.990142583847046,2.765
3.998241424560547,2.529
4.010751962661743,2.745
4.019268035888672,2.275
4.027268409729004,3.255
4.038815975189209,2.745
4.046818017959595,2.373
4.059348106384277,2.314
4.0683887004852295,2.275
4.080445051193237,2.157
4.088953495025635,3.255
4.100463628768921,2.490
4.108581066131592,2.373
4.121688365936279,2.490
4.129200220108032,2.961
4.141711711883545,1.824
4.150224685668945,2.608
4.15825080871582,2.549
4.170759677886963,2.216
4.178275108337402,2.020
4.1903839111328125,2.784
4.19890022277832,1.863
4.211408853530884,2.412
4.219924688339233,2.059
4.227931261062622,2.000
4.240438461303711,1.020
4.248489618301392,1.863
4.2600603103637695,2.255
4.268572807312012,2.863
4.281081438064575,2.608
4.289567947387695,3.137
4.301079034805298,2.882
4.309587240219116,3.490
4.318102836608887,3.000
4.330610752105713,3.000
4.338227033615112,3.020
4.350382328033447,3.059
4.358403921127319,2.686
4.371004819869995,3.529
4.37951135635376,2.784
4.391645431518555,2.529
4.400151252746582,1.765
4.4122350215911865,1.706
4.4202351570129395,1.961
4.432248592376709,2.784
4.440253734588623,2.569
4.449297904968262,2.706
4.4609456062316895,2.039
4.469459772109985,2.588
4.4819722175598145,2.373
4.490008115768433,2.333
4.502520799636841,1.549
4.510032892227173,1.353
4.52254319190979,1.471
4.53066611289978,2.412
4.539173126220703,2.667
4.551062107086182,3.137
4.559217929840088,3.039
4.572239875793457,4.275
4.5802435874938965,3.627
4.592376232147217,2.882
4.600382328033447,2.314
4.612897634506226,1.314
4.621205568313599,1.392
4.6337151527404785,2.235
4.641765356063843,2.412
4.653427362442017,2.039
4.661913633346558,1.980
4.66999626159668,2.078
4.682504892349243,1.745
4.690630912780762,2.039
4.703143835067749,1.667
4.710652828216553,2.824
4.723165512084961,3.882
4.731165647506714,3.980
4.740192651748657,3.412
4.7522101402282715,2.373
4.7602150440216064,2.255
4.772711992263794,2.725
4.780831813812256,2.353
4.79233980178833,2.314
4.801187992095947,2.235
4.81330680847168,2.588
4.821593761444092,2.431
4.830103635787964,2.588
4.8427207469940186,2.294
4.850232839584351,2.529
4.8630194664001465,1.627
4.8705315589904785,1.196
4.883052110671997,1.216
4.891053199768066,2.157
4.904047250747681,1.922
4.911049127578735,1.922
4.924082040786743,2.627
4.932077646255493,3.098
4.944591045379639,2.902
4.953157663345337,3.294
4.961442947387695,3.314
4.972964286804199,2.078
4.981480598449707,0.686
4.993988037109375,1.000
5.001500129699707,1.196
5.014537811279297,1.529
5.022047281265259,2.196
5.034560203552246,2.784
5.042790412902832,2.157
5.051292896270752,2.098
5.063164234161377,2.627
5.071171045303345,3.137
5.084203004837036,3.451
5.091922998428345,3.471
5.104271411895752,3.784
5.11242413520813,3.392
5.1240363121032715,3.451
5.132547855377197,2.941
5.144945383071899,2.059
5.15358567237854,1.235
5.166091442108154,1.843
5.173611164093018,1.961
5.182117700576782,2.529
5.1946327686309814,2.588
5.2029194831848145,2.667
5.2152886390686035,2.098
5.222802400588989,1.314
5.2353129386901855,1.196
5.2438273429870605,2.255
5.251964330673218,3.078
5.264393091201782,3.529
5.272398471832275,2.176
5.284910202026367,1.882
5.2932820320129395,2.059
5.305318117141724,2.431
5.312828540802002,1.431
5.326007127761841,1.922
5.3335185050964355,2.588
5.342082262039185,3.255
5.353738784790039,2.824
5.3622496128082275,3.157
5.374758005142212,2.490
5.382941722869873,2.647
5.395450830459595,1.725
5.403085708618164,1.647
5.416017293930054,2.118
5.423018455505371,3.000
5.436046600341797,2.784
5.444047451019287,3.098
5.456231117248535,3.863
5.465239763259888,4.588
5.473324775695801,3.863
5.484840154647827,3.804
5.49334979057312,2.922
5.504860877990723,2.824
5.514030456542969,3.059
5.526542901992798,3.314
5.534053087234497,2.647
5.546560525894165,2.137
5.554784774780273,1.196
5.56731104850769,1.608
5.5758209228515625,1.706
5.587950944900513,2.137
5.595454931259155,2.275
5.608534097671509,3.275
5.616535425186157,2.373
5.629083633422852,2.373
5.636084794998169,2.294
5.645597219467163,3.118
5.657026052474976,2.765
5.665542125701904,2.549
5.6776885986328125,1.686
5.68621301651001,1.529
5.698609113693237,1.510
5.706122398376465,2.941
5.7186455726623535,3.353
5.7271568775177,4.059
5.735668659210205,3.176
5.74717903137207,2.529
5.7551963329315186,2.137
5.767715930938721,2.255
5.776226043701172,1.745
5.788599729537964,2.706
5.796601295471191,3.569
5.808621883392334,3.294
5.816639184951782,1.745
5.825147867202759,2.490
5.837729215621948,2.706
5.8462488651275635,2.686
5.857828617095947,2.373
5.865844249725342,2.196
5.878980875015259,1.863
5.887053489685059,3.627
5.894569635391235,3.471
5.907659292221069,3.706
5.915166616439819,2.255
5.927688121795654,2.706
5.93619179725647,2.392
5.948710680007935,1.588
5.956228733062744,0.863
5.9682464599609375,1.765
5.97725248336792,1.431
5.98839545249939,2.471
5.996908664703369,3.431
6.009424448013306,3.725
6.0179407596588135,2.824
6.026018142700195,3.588
6.038549423217773,3.745
6.046075105667114,3.373
6.059098958969116,1.843
6.066613435745239,2.314
6.0791237354278564,2.059
6.086636066436768,2.843
6.10016131401062,2.588
6.107663154602051,1.627
6.120736837387085,1.451
6.128247499465942,2.549
6.140531063079834,1.941
6.1485326290130615,2.196
6.157308340072632,2.451
6.1689369678497314,3.549
6.177804708480835,3.961
6.19022798538208,4.549
6.198293447494507,3.078
6.2105796337127686,2.373
6.218092679977417,2.000
6.2306153774261475,3.490
6.2391276359558105,2.686
6.247647047042847,1.549
6.259392738342285,0.451
6.267909288406372,0.569
6.2804481983184814,0.863
6.2884252071380615,1.902
6.300536632537842,2.294
6.30854344367981,3.569
6.320564270019531,2.843
6.329571008682251,3.294
6.337082862854004,2.745
6.349426507949829,3.196
6.357937574386597,2.373
6.369996070861816,3.235
6.378508806228638,2.588
6.390875577926636,2.667
6.39885139465332,1.490
6.407402038574219,2.373
6.419440031051636,3.235
6.427067041397095,3.176
6.439587116241455,3.549
6.447586536407471,3.961
6.460127830505371,3.020
6.468130826950073,3.549
6.481159210205078,2.314
6.489157676696777,1.471
6.5016748905181885,0.490
6.509880065917969,0.824
6.5214009284973145,1.373
6.5299155712127686,2.216
6.538081169128418,1.980
6.550602436065674,2.431
6.5583531856536865,2.588
6.570864677429199,2.745
6.579380512237549,2.510
6.590936183929443,3.059
6.59991192817688,2.490
6.611424922943115,2.529
6.620457172393799,2.216
6.6326072216033936,2.686
6.640603065490723,2.451
6.653191566467285,2.196
6.66070294380188,2.039
6.668785810470581,2.549
6.681307315826416,1.922
6.689822435379028,1.784
6.702340126037598,2.588
6.7104268074035645,3.275
6.721947908401489,3.294
6.730323076248169,3.275
6.742827415466309,2.549
6.751351594924927,2.039
6.75929594039917,1.824
6.771810293197632,2.549
6.7793190479278564,1.863
6.791833400726318,2.098
6.8003458976745605,1.784
6.812863111495972,1.961
6.820863485336304,2.294
6.83263087272644,2.000
6.841688394546509,2.353
6.849819183349609,2.451
6.861867666244507,2.784
6.869389533996582,3.078
6.881913423538208,2.706
6.890429735183716,3.000
6.902499675750732,2.941
6.911017656326294,2.941
6.919060945510864,2.569
6.931201457977295,2.529
6.9393150806427,1.627
6.951836824417114,1.588
6.960350513458252,1.529
6.971893072128296,2.020
6.980895757675171,1.686
6.992581129074097,1.569
7.000588417053223,1.863
7.013610363006592,1.490
7.021618604660034,2.196
7.034127712249756,2.882
7.041528224945068,2.863
7.054551601409912,2.098
7.062641620635986,2.569
7.075170993804932,3.294
7.082697153091431,2.961
7.091205358505249,1.745
7.103312969207764,2.510
7.111829996109009,3.196
7.124343156814575,1.980
7.131854295730591,2.275
7.144366264343262,2.412
7.15236496925354,2.020
7.164976358413696,3.059
7.17348313331604,2.471
7.184997320175171,2.863
7.193010330200195,2.529
7.205523252487183,3.078
7.213797092437744,3.686
7.222310304641724,3.098
7.234834909439087,2.804
7.242344379425049,3.784
7.255372762680054,3.294
7.262901306152344,3.529
7.27507758140564,3.294
7.283599853515625,3.549
7.296112060546875,2.098
7.3036277294158936,1.784
7.3121302127838135,1.804
7.324646711349487,2.490
7.332646131515503,1.961
7.344696760177612,2.529
7.353219747543335,2.275
7.36580228805542,1.471
7.373628854751587,1.549
7.385653972625732,3.216
7.394167900085449,2.647
7.402675151824951,2.804
7.415184259414673,2.784
7.423285484313965,2.196
7.434800624847412,1.137
7.443317413330078,1.765
7.4553468227386475,2.137
7.463864326477051,2.294
7.47637939453125,1.961
7.48389458656311,3.412
7.4964118003845215,3.627
7.5049169063568115,4.353
7.517448425292969,4.059
7.524445533752441,3.490
7.533520221710205,2.902
7.545886516571045,3.843
7.553592205047607,2.882
7.566629886627197,3.098
7.574146270751953,2.725
7.5865583419799805,2.824
7.594691753387451,1.824
7.603203773498535,1.784
7.615435838699341,1.725
7.623947381973267,2.667
7.635460138320923,2.255
7.643975496292114,0.706
7.656482458114624,0.000
7.664988279342651,0.804
7.67718505859375,1.608
7.684699058532715,1.863
7.696913719177246,1.706
7.70552134513855,2.294
7.717550277709961,0.902
7.726564884185791,1.216
7.734078645706177,0.765
7.746598482131958,0.745
7.754624128341675,0.490
7.767140626907349,1.882
7.775259256362915,2.784
7.787780523300171,3.686
7.795297622680664,2.922
7.807823181152344,3.686
7.816265106201172,3.725
7.824766635894775,4.216
7.836288928985596,3.804
7.844221591949463,4.608
7.857435464859009,4.255
7.865434169769287,4.078
7.877947092056274,3.098
7.8860578536987305,2.078
7.897572994232178,1.725
7.906086444854736,2.529
7.914612054824829,2.059
7.926751375198364,2.922
7.935270071029663,2.941
7.946779012680054,2.824
7.955828666687012,2.647
7.9680092334747314,1.941
